%time,field.meter,field.adc_1,field.adc_2,field.adc_3,field.adc_4,field.adc_5,field.adc_6,field.adc_7,field.adc_8
1444808594716858401,0.4,134,144,187,160,161,169,0,0
1444808594816606437,0.4,134,143,178,161,164,169,0,0
1444808594917081404,0.4,135,143,176,161,165,170,0,0
1444808595016833931,0.4,138,142,175,160,165,170,0,0
1444808595116911554,0.4,134,143,175,160,165,171,0,0
1444808595216737193,0.4,135,145,175,161,165,170,0,0
1444808595316746071,0.4,133,143,176,161,166,171,0,0
1444808595416953547,0.4,135,143,176,161,166,171,0,0
1444808595517068959,0.4,134,143,238,160,171,252,0,0
1444808595616744542,0.4,135,143,210,158,157,183,0,0
1444808595717157829,0.4,133,142,186,160,160,168,0,0
1444808595816332501,0.4,135,142,177,161,164,168,0,0
1444808595916940651,0.4,133,142,175,161,165,170,0,0
1444808602016744042,0.4,134,143,175,161,165,170,0,0
1444808602017164455,0.45,122,133,171,154,159,165,0,0
1444808602117034044,0.45,123,133,171,153,159,165,0,0
1444808602216983739,0.45,122,133,171,153,159,165,0,0
1444808602317928355,0.45,122,133,171,153,159,165,0,0
1444808602417907881,0.45,122,132,171,153,159,164,0,0
1444808602517454144,0.45,123,133,233,153,165,248,0,0
1444808602617477262,0.45,122,132,205,150,150,178,0,0
1444808602716935672,0.45,123,133,182,153,154,163,0,0
1444808602817605777,0.45,123,133,173,154,157,163,0,0
1444808602917373221,0.45,123,134,171,155,159,165,0,0
1444808603017439094,0.45,122,133,171,154,159,165,0,0
1444808603117858078,0.45,123,134,171,154,160,165,0,0
1444808603217552979,0.45,127,132,171,153,159,165,0,0
1444808603317357895,0.45,124,133,171,154,159,165,0,0
1444808603417038935,0.45,126,132,171,153,159,165,0,0
1444808603517744438,0.45,123,133,233,153,164,248,0,0
1444808603617519194,0.45,127,132,206,150,150,177,0,0
1444808603717033488,0.45,123,133,182,153,154,163,0,0
1444808603817718971,0.45,121,133,176,153,156,162,0,0
1444808603917828491,0.45,124,134,171,154,158,164,0,0
1444808610017182316,0.45,122,133,170,153,159,165,0,0
1444808610017367706,0.5,110,123,167,146,153,159,0,0
1444808610117969087,0.5,111,122,166,146,152,159,0,0
1444808610218367827,0.5,112,123,166,146,152,159,0,0
1444808610318042766,0.5,114,124,166,146,152,159,0,0
1444808610417879321,0.5,110,123,166,146,153,159,0,0
1444808610517933774,0.5,110,125,229,146,158,242,0,0
1444808610618234458,0.5,110,123,201,143,144,172,0,0
1444808610717908707,0.5,111,123,177,145,148,158,0,0
1444808610817981832,0.5,110,123,169,146,151,158,0,0
1444808610917937142,0.5,111,123,167,147,153,159,0,0
1444808611017945600,0.5,110,123,167,146,152,159,0,0
1444808611117672573,0.5,110,123,166,147,153,159,0,0
1444808611217597322,0.5,111,123,167,146,153,160,0,0
1444808611317546237,0.5,110,124,167,147,153,160,0,0
1444808611418007424,0.5,111,123,167,147,153,160,0,0
1444808611518487548,0.5,111,122,228,146,158,242,0,0
1444808611618159683,0.5,111,123,201,143,144,172,0,0
1444808611717980328,0.5,110,122,177,145,148,158,0,0
1444808611817978617,0.5,109,122,169,146,151,158,0,0
1444808611917479884,0.5,110,122,166,146,152,158,0,0
1444808618017983908,0.5,109,122,166,146,152,159,0,0
1444808618018065115,0.55,99,114,163,141,147,155,0,0
1444808618118811116,0.55,97,113,162,140,147,154,0,0
1444808618218741001,0.55,99,114,163,141,147,155,0,0
1444808618318632349,0.55,97,112,163,139,147,154,0,0
1444808618418544324,0.55,103,116,163,141,147,155,0,0
1444808618518369825,0.55,107,114,225,140,153,238,0,0
1444808618618409655,0.55,99,115,197,137,139,168,0,0
1444808618718536422,0.55,103,115,174,139,142,153,0,0
1444808618818719478,0.55,99,114,165,140,145,153,0,0
1444808618918956700,0.55,98,116,163,140,147,154,0,0
1444808619018318384,0.55,102,116,163,141,148,155,0,0
1444808619118717782,0.55,97,113,162,140,147,155,0,0
1444808619218585701,0.55,98,114,163,139,148,155,0,0
1444808619318769355,0.55,102,113,163,140,147,155,0,0
1444808619418814877,0.55,99,114,163,140,147,155,0,0
1444808619518812281,0.55,99,114,225,140,153,238,0,0
1444808619618695090,0.55,98,113,197,137,138,167,0,0
1444808619718866129,0.55,99,115,174,139,142,153,0,0
1444808619818740606,0.55,99,114,165,141,146,153,0,0
1444808619918516168,0.55,99,116,163,141,147,154,0,0
1444808626018470854,0.55,98,113,163,140,147,154,0,0
1444808626019250232,0.6,99,114,161,139,145,153,0,0
1444808626119050699,0.6,94,110,162,138,145,153,0,0
1444808626219555714,0.6,96,110,161,138,145,153,0,0
1444808626319013697,0.6,95,110,161,137,145,153,0,0
1444808626419018782,0.6,95,109,161,137,144,152,0,0
1444808626519180130,0.6,96,110,224,137,150,236,0,0
1444808626619484819,0.6,95,111,196,135,137,166,0,0
1444808626719112786,0.6,96,111,182,136,138,155,0,0
1444808626819062367,0.6,96,112,166,138,143,151,0,0
1444808626919001275,0.6,96,112,162,139,145,152,0,0
1444808627019085074,0.6,94,112,161,138,145,153,0,0
1444808627119119354,0.6,94,110,162,138,145,153,0,0
1444808627219308905,0.6,95,111,162,138,145,153,0,0
1444808627319240086,0.6,94,110,162,137,145,153,0,0
1444808627418938633,0.6,96,111,161,138,145,153,0,0
1444808627519007648,0.6,94,109,224,137,150,236,0,0
1444808627618655224,0.6,95,110,196,135,137,166,0,0
1444808627719310998,0.6,93,110,172,137,140,151,0,0
1444808627819488590,0.6,94,110,163,138,144,151,0,0
1444808627919018140,0.6,96,111,161,138,145,152,0,0
1444808634019095653,0.6,100,112,161,139,145,153,0,0
1444808634019305576,0.65,93,109,160,136,144,152,0,0
1444808634119837317,0.65,95,110,160,136,144,152,0,0
1444808634219991209,0.65,95,109,161,136,144,152,0,0
1444808634320494738,0.65,95,110,160,137,144,152,0,0
1444808634419731039,0.65,94,110,161,137,144,152,0,0
1444808634519975625,0.65,95,112,222,149,180,316,0,0
1444808634620086804,0.65,96,110,212,135,139,190,0,0
1444808634719814930,0.65,95,111,182,136,138,155,0,0
1444808634819614693,0.65,94,110,166,137,142,151,0,0
1444808634919938554,0.65,96,110,162,137,144,152,0,0
1444808635019567936,0.65,99,109,161,137,144,152,0,0
1444808635119542225,0.65,90,107,160,135,143,152,0,0
1444808635219953569,0.65,95,110,160,136,144,152,0,0
1444808635319722721,0.65,93,109,160,137,144,152,0,0
1444808635419632311,0.65,95,112,161,137,145,152,0,0
1444808635519672197,0.65,95,110,224,138,151,236,0,0
1444808635619630936,0.65,91,110,195,134,136,165,0,0
1444808635719948058,0.65,96,110,182,136,138,155,0,0
1444808635820044614,0.65,89,108,166,136,142,150,0,0
1444808635919562589,0.65,95,110,161,136,143,151,0,0
1444808642019660901,0.65,99,109,161,137,144,152,0,0
1444808642020659693,0.7,88,104,159,133,141,149,0,0
1444808642120326856,0.7,91,103,159,133,141,150,0,0
1444808642220441372,0.7,87,104,159,133,141,149,0,0
1444808642320641921,0.7,87,106,159,133,141,150,0,0
1444808642420211228,0.7,87,104,159,133,141,149,0,0
1444808642520336987,0.7,92,106,221,134,147,233,0,0
1444808642620236715,0.7,87,104,193,131,133,163,0,0
1444808642720331669,0.7,88,104,169,133,136,148,0,0
1444808642820232360,0.7,87,104,161,133,140,148,0,0
1444808642919845887,0.7,92,106,159,134,141,149,0,0
1444808643020434957,0.7,86,104,159,134,142,150,0,0
1444808643120191665,0.7,87,105,159,134,142,150,0,0
1444808643220070121,0.7,87,104,159,134,142,150,0,0
1444808643320403709,0.7,87,107,159,135,142,150,0,0
1444808643420157726,0.7,86,104,159,134,142,150,0,0
1444808643520156387,0.7,91,108,220,146,177,314,0,0
1444808643620341405,0.7,92,106,210,131,136,187,0,0
1444808643720246648,0.7,91,107,180,133,136,153,0,0
1444808643820360512,0.7,85,104,164,134,139,148,0,0
1444808643920378346,0.7,87,104,160,134,141,149,0,0
1444808650020072476,0.7,85,104,159,134,142,150,0,0
1444808650020648273,0.75,79,98,157,130,139,147,0,0
1444808650120622017,0.75,76,97,157,129,138,147,0,0
1444808650220526643,0.75,79,98,157,129,138,147,0,0
1444808650320808036,0.75,83,97,156,129,138,147,0,0
1444808650420826778,0.75,80,98,157,129,138,147,0,0
1444808650520632459,0.75,83,100,218,129,143,230,0,0
1444808650621193797,0.75,79,99,190,127,130,160,0,0
1444808650720453242,0.75,80,100,168,129,134,145,0,0
1444808650820833256,0.75,78,99,159,130,137,145,0,0
1444808650920493517,0.75,79,101,157,131,139,147,0,0
1444808651021090815,0.75,83,102,157,131,139,148,0,0
1444808651120801054,0.75,84,98,157,130,138,147,0,0
1444808651220891245,0.75,79,97,157,129,137,147,0,0
1444808651320702224,0.75,79,97,157,129,137,146,0,0
1444808651420785063,0.75,83,99,156,129,137,146,0,0
1444808651520670791,0.75,84,103,217,142,174,311,0,0
1444808651620579377,0.75,79,97,207,127,132,184,0,0
1444808651720615871,0.75,78,100,177,128,131,149,0,0
1444808651820739975,0.75,79,98,162,129,135,144,0,0
1444808651920857640,0.75,76,94,157,128,136,145,0,0
1444808658020928269,0.75,80,97,156,129,137,146,0,0
1444808658021050012,0.8,69,89,153,123,132,142,0,0
1444808658121305263,0.8,59,84,152,121,131,141,0,0
1444808658221452829,0.8,68,90,153,124,133,142,0,0
1444808658321398390,0.8,72,95,154,127,135,144,0,0
1444808658421360235,0.8,56,82,154,122,133,143,0,0
1444808658521372163,0.8,80,92,216,124,139,226,0,0
1444808658621257555,0.8,75,92,204,122,128,180,0,0
1444808658721291024,0.8,65,85,173,120,125,144,0,0
1444808658821395720,0.8,80,94,158,124,130,140,0,0
1444808658921278803,0.8,78,94,153,125,133,141,0,0
1444808659021372331,0.8,71,92,153,125,134,143,0,0
1444808659121311423,0.8,66,88,153,123,133,143,0,0
1444808659221495730,0.8,71,89,153,123,132,142,0,0
1444808659321397858,0.8,63,84,153,122,132,142,0,0
1444808659421185239,0.8,73,90,153,123,132,142,0,0
1444808659521546064,0.8,73,89,215,123,138,226,0,0
1444808659621581856,0.8,64,89,187,122,126,156,0,0
1444808659721425920,0.8,71,94,164,124,129,141,0,0
1444808659820937686,0.8,63,86,155,123,131,140,0,0
1444808659921432749,0.8,74,91,153,124,132,142,0,0
