%time,field.meter,field.adc_1,field.adc_2,field.adc_3,field.adc_4,field.adc_5,field.adc_6,field.adc_7,field.adc_8
1444809639384323803,0.4,68,88,164,123,129,141,0,0
1444809639484343652,0.4,66,88,155,124,132,142,0,0
1444809639584379703,0.4,67,88,154,124,133,142,0,0
1444809639684222946,0.4,67,90,153,124,133,143,0,0
1444809639784191028,0.4,68,89,153,123,133,143,0,0
1444809645884446350,0.4,68,87,153,123,133,142,0,0
1444809645884522182,0.45,63,81,151,119,129,140,0,0
1444809645984706838,0.45,58,82,151,120,129,140,0,0
1444809646084796027,0.45,63,84,151,120,130,140,0,0
1444809646184755030,0.45,58,81,213,120,135,223,0,0
1444809646284901071,0.45,58,84,184,117,122,153,0,0
1444809646384752860,0.45,64,84,162,120,126,139,0,0
1444809646484344096,0.45,58,81,153,120,129,138,0,0
1444809646584428123,0.45,62,82,150,120,130,140,0,0
1444809646684739703,0.45,59,81,151,119,129,140,0,0
1444809646784687141,0.45,59,81,151,119,129,140,0,0
1444809646884665206,0.45,60,83,151,120,130,140,0,0
1444809646984745425,0.45,59,82,151,120,130,140,0,0
1444809647084788660,0.45,58,82,151,120,130,140,0,0
1444809647184692408,0.45,62,83,213,120,135,223,0,0
1444809647284889460,0.45,62,84,184,118,123,153,0,0
1444809647384707754,0.45,63,84,162,120,126,140,0,0
1444809647484810736,0.45,58,82,154,121,129,139,0,0
1444809647584762777,0.45,61,82,151,120,130,140,0,0
1444809647684783894,0.45,58,82,151,120,130,140,0,0
1444809647784796026,0.45,59,81,151,119,129,140,0,0
1444809653884807602,0.45,62,83,151,120,130,140,0,0
1444809653884889851,0.5,51,79,149,117,128,138,0,0
1444809653984954945,0.5,55,78,150,117,128,138,0,0
1444809654085307174,0.5,56,80,207,128,162,303,0,0
1444809654185297974,0.5,54,75,198,112,120,174,0,0
1444809654285475074,0.5,52,76,168,114,120,139,0,0
1444809654385311068,0.5,51,76,153,116,124,135,0,0
1444809654485430095,0.5,50,76,150,116,127,137,0,0
1444809654585158865,0.5,56,80,149,117,127,137,0,0
1444809654685206061,0.5,53,79,149,117,127,138,0,0
1444809654785372134,0.5,56,79,150,117,128,138,0,0
1444809654885259374,0.5,56,79,150,118,128,138,0,0
1444809654985392407,0.5,55,78,150,117,128,138,0,0
1444809655085169621,0.5,49,76,149,116,127,138,0,0
1444809655185259700,0.5,51,78,212,117,133,221,0,0
1444809655285267275,0.5,52,77,182,114,119,151,0,0
1444809655385252165,0.5,54,78,160,116,123,137,0,0
1444809655485329776,0.5,50,75,151,116,126,136,0,0
1444809655584936011,0.5,55,77,149,116,126,137,0,0
1444809655685337636,0.5,55,78,149,116,127,137,0,0
1444809655785220480,0.5,50,77,150,117,128,138,0,0
1444809661885306173,0.5,50,76,149,117,128,138,0,0
1444809661885871470,0.55,43,72,147,113,124,135,0,0
1444809661985813610,0.55,47,73,148,113,125,136,0,0
1444809662085850840,0.55,51,77,208,127,161,302,0,0
1444809662185492672,0.55,50,72,197,111,119,172,0,0
1444809662285910073,0.55,44,70,181,110,116,148,0,0
1444809662385743443,0.55,46,71,158,112,120,134,0,0
1444809662485814254,0.55,43,73,149,114,123,134,0,0
1444809662585673027,0.55,43,70,147,113,124,135,0,0
1444809662685887037,0.55,42,69,147,112,123,135,0,0
1444809662785950413,0.55,47,72,147,113,124,135,0,0
1444809662885950602,0.55,47,72,147,112,124,135,0,0
1444809662986035946,0.55,43,71,147,113,124,136,0,0
1444809663085781623,0.55,46,74,206,125,160,301,0,0
1444809663185982751,0.55,47,74,196,110,119,172,0,0
1444809663285805648,0.55,43,70,167,111,118,138,0,0
1444809663385878772,0.55,46,72,152,113,122,133,0,0
1444809663485603090,0.55,45,72,148,113,124,134,0,0
1444809663585782229,0.55,44,70,147,112,123,135,0,0
1444809663685830804,0.55,42,70,147,112,124,135,0,0
1444809663786234662,0.55,50,73,147,113,124,135,0,0
1444809669886040656,0.55,48,73,147,113,124,135,0,0
1444809669887075657,0.6,47,71,148,112,124,135,0,0
1444809669986330248,0.6,51,74,148,114,125,135,0,0
1444809670086366586,0.6,51,72,147,113,125,136,0,0
1444809670186372244,0.6,42,69,209,112,129,218,0,0
1444809670286297494,0.6,52,75,181,112,117,149,0,0
1444809670386494977,0.6,42,71,159,114,122,135,0,0
1444809670486462242,0.6,38,71,151,114,124,135,0,0
1444809670586298882,0.6,39,68,148,113,124,135,0,0
1444809670686419422,0.6,42,69,148,112,124,136,0,0
1444809670786227018,0.6,40,67,147,111,123,134,0,0
1444809670886316945,0.6,46,75,146,114,124,135,0,0
1444809670986467249,0.6,52,77,146,115,126,136,0,0
1444809671086071888,0.6,51,76,207,126,161,302,0,0
1444809671186333644,0.6,47,73,210,114,131,220,0,0
1444809671286466139,0.6,47,74,183,112,118,150,0,0
1444809671386430469,0.6,41,70,159,113,121,135,0,0
1444809671486314658,0.6,52,75,149,114,124,134,0,0
1444809671586402460,0.6,47,73,148,114,125,135,0,0
1444809671686370619,0.6,39,68,148,113,124,135,0,0
1444809671786227378,0.6,54,76,148,115,125,136,0,0
1444809677886310969,0.6,51,74,148,115,126,136,0,0
1444809677886439117,0.65,29,59,141,102,115,127,0,0
1444809677987089283,0.65,43,66,142,106,118,130,0,0
1444809678086949273,0.65,55,74,144,111,122,132,0,0
1444809678186929795,0.65,38,67,208,112,129,218,0,0
1444809678286807701,0.65,6,48,178,101,110,144,0,0
1444809678386581942,0.65,38,64,155,106,114,130,0,0
1444809678486990392,0.65,61,76,146,111,120,130,0,0
1444809678586846250,0.65,23,54,144,104,117,130,0,0
1444809678686764408,0.65,34,59,143,104,116,129,0,0
1444809678786879776,0.65,19,51,142,101,115,128,0,0
1444809678886837338,0.65,4,45,142,100,114,128,0,0
1444809678986892123,0.65,20,54,142,103,116,128,0,0
1444809679086896662,0.65,8,51,143,103,117,129,0,0
1444809679186827529,0.65,6,47,204,99,119,211,0,0
1444809679287300834,0.65,26,53,174,98,106,139,0,0
1444809679386707304,0.65,3,47,152,101,111,127,0,0
1444809679486582692,0.65,21,53,144,102,114,127,0,0
1444809679586839148,0.65,20,58,143,105,117,129,0,0
1444809679686799455,0.65,30,57,142,103,117,129,0,0
1444809679786886936,0.65,15,54,143,104,117,129,0,0
1444809685886990776,0.65,19,52,142,102,115,128,0,0
1444809685887309017,0.7,2,39,137,93,108,122,0,0
1444809685987690760,0.7,6,38,137,92,107,121,0,0
1444809686087744643,0.7,2,37,137,92,107,121,0,0
1444809686187407112,0.7,2,38,199,92,112,206,0,0
1444809686287368776,0.7,2,38,169,89,99,134,0,0
1444809686387120171,0.7,2,40,147,92,103,120,0,0
1444809686487606128,0.7,2,39,142,93,105,120,0,0
1444809686587424262,0.7,6,38,138,93,107,121,0,0
1444809686687526336,0.7,2,38,137,93,107,121,0,0
1444809686787409043,0.7,2,38,137,92,107,121,0,0
1444809686887475183,0.7,2,39,137,93,107,121,0,0
1444809686987637394,0.7,2,38,137,92,107,122,0,0
1444809687087252142,0.7,2,38,137,93,107,122,0,0
1444809687187547918,0.7,2,37,199,92,112,205,0,0
1444809687287715547,0.7,2,38,169,90,99,134,0,0
1444809687387569280,0.7,5,40,147,92,103,120,0,0
1444809687487530682,0.7,2,38,139,92,106,120,0,0
1444809687587177277,0.7,2,38,137,92,107,121,0,0
1444809687687841458,0.7,2,38,136,92,107,121,0,0
1444809687787539027,0.7,2,38,137,92,107,121,0,0
1444809693887554764,0.7,2,38,137,92,107,121,0,0
1444809693888303571,0.75,2,40,137,93,108,122,0,0
1444809693987704344,0.75,2,39,137,92,108,122,0,0
1444809694088189026,0.75,6,40,137,93,108,122,0,0
1444809694188088617,0.75,2,38,198,93,113,205,0,0
1444809694288049498,0.75,2,38,169,89,98,134,0,0
1444809694388143551,0.75,2,38,146,91,103,120,0,0
1444809694488047940,0.75,2,38,139,92,106,120,0,0
1444809694588102121,0.75,2,38,137,92,107,121,0,0
1444809694687980255,0.75,2,38,137,92,107,121,0,0
1444809694788004652,0.75,2,38,135,92,107,121,0,0
1444809694887959770,0.75,2,39,137,92,107,121,0,0
1444809694987982153,0.75,2,38,137,92,107,121,0,0
1444809695088095317,0.75,2,39,137,93,107,121,0,0
1444809695188317430,0.75,6,38,199,92,113,205,0,0
1444809695287736519,0.75,2,38,169,90,99,134,0,0
1444809695388094409,0.75,2,38,156,91,101,124,0,0
1444809695488162727,0.75,2,42,141,92,105,119,0,0
1444809695588177262,0.75,2,38,138,92,107,121,0,0
1444809695688133580,0.75,2,38,137,92,107,121,0,0
1444809695787783960,0.75,2,38,137,92,107,121,0,0
1444809701888042401,0.75,2,38,137,92,107,121,0,0
1444809701888473747,0.8,2,38,137,92,107,121,0,0
1444809701988500233,0.8,2,38,137,92,107,121,0,0
1444809702088361302,0.8,2,38,137,92,107,121,0,0
1444809702188511349,0.8,2,38,199,92,112,205,0,0
1444809702288202436,0.8,2,38,169,90,99,134,0,0
1444809702388559595,0.8,2,40,147,92,103,120,0,0
1444809702488550316,0.8,2,38,139,93,106,120,0,0
1444809702588468570,0.8,2,39,137,93,107,121,0,0
1444809702688648654,0.8,4,38,137,93,107,121,0,0
1444809702788526460,0.8,2,37,137,92,107,121,0,0
1444809702888381990,0.8,2,38,137,92,107,121,0,0
1444809702989575030,0.8,2,40,137,93,107,121,0,0
1444809703088632316,0.8,2,38,137,92,107,121,0,0
1444809703188423367,0.8,2,38,198,92,112,205,0,0
1444809703288293052,0.8,75,38,169,89,98,134,0,0
1444809703388493307,0.8,2,38,146,92,103,120,0,0
1444809703488103975,0.8,2,38,138,92,106,120,0,0
1444809703588284155,0.8,2,39,136,93,107,121,0,0
1444809703688447802,0.8,2,38,137,93,108,122,0,0
1444809703788735560,0.8,2,38,137,92,107,121,0,0
